"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"108","19:41:13","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25957"
"109","19:41:13","10.0.2.15","10.0.2.3","UDP","97","55473","53","N/A","0x00","6073"
"110","19:41:13","10.0.2.3","10.0.2.15","UDP","97","53","55473","N/A","0x00","25958"
"111","19:41:13","10.0.2.15","10.0.2.3","UDP","86","55473","53","N/A","0x00","6074"
"112","19:41:13","10.0.2.3","10.0.2.15","UDP","86","53","55473","N/A","0x00","25959"
"113","19:41:13","10.0.2.15","10.0.2.3","UDP","100","60280","53","N/A","0x00","60044"
"114","19:41:13","10.0.2.3","10.0.2.15","UDP","292","53","60280","N/A","0x00","25960"
"115","19:41:13","10.0.2.15","185.125.190.96","TCP","74","41820","80","SYN","0x00","61560"
"116","19:41:14","185.125.190.96","10.0.2.15","TCP","60","80","41820","SYN ACK","0x08","25961"
"117","19:41:14","10.0.2.15","185.125.190.96","TCP","54","41820","80","ACK","0x00","61561"
"118","19:41:14","10.0.2.15","185.125.190.96","TCP","141","41820","80","ACK PSH","0x00","61562"
"119","19:41:14","185.125.190.96","10.0.2.15","TCP","60","80","41820","ACK","0x08","25962"
"120","19:41:14","185.125.190.96","10.0.2.15","TCP","239","80","41820","ACK PSH","0x08","25963"
"121","19:41:14","10.0.2.15","185.125.190.96","TCP","54","41820","80","ACK","0x00","61563"
"122","19:41:14","10.0.2.15","185.125.190.96","TCP","54","41820","80","ACK FIN","0x00","61564"
"123","19:41:14","185.125.190.96","10.0.2.15","TCP","60","80","41820","ACK FIN","0x08","25964"
"124","19:41:14","10.0.2.15","185.125.190.96","TCP","54","41820","80","ACK","0x00","61565"
"125","19:41:14","185.125.190.96","10.0.2.15","TCP","60","80","41820","ACK FIN","0x08","25965"
"126","19:41:14","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","7566"
"127","19:41:14","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25966"
"128","19:41:14","10.0.2.15","10.0.2.3","UDP","97","41864","53","N/A","0x00","42655"
"129","19:41:14","10.0.2.3","10.0.2.15","UDP","97","53","41864","N/A","0x00","25967"
"130","19:41:14","10.0.2.15","10.0.2.3","UDP","86","41864","53","N/A","0x00","42656"
"131","19:41:14","10.0.2.3","10.0.2.15","UDP","86","53","41864","N/A","0x00","25968"
"132","19:41:15","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","8213"
"133","19:41:15","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25969"
"134","19:41:15","10.0.2.15","10.0.2.3","UDP","97","53878","53","N/A","0x00","54508"
"135","19:41:15","10.0.2.3","10.0.2.15","UDP","97","53","53878","N/A","0x00","25970"
"136","19:41:15","10.0.2.15","10.0.2.3","UDP","86","53878","53","N/A","0x00","54509"
"137","19:41:15","10.0.2.3","10.0.2.15","UDP","86","53","53878","N/A","0x00","25971"
"138","19:41:15","10.0.2.15","10.0.2.3","UDP","100","37420","53","N/A","0x00","55237"
"139","19:41:15","10.0.2.3","10.0.2.15","UDP","436","53","37420","N/A","0x00","25972"
"140","19:41:16","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","8880"
"141","19:41:16","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25973"
"142","19:41:16","10.0.2.15","10.0.2.3","UDP","97","37673","53","N/A","0x00","23391"
"143","19:41:16","10.0.2.3","10.0.2.15","UDP","97","53","37673","N/A","0x00","25974"
"144","19:41:16","10.0.2.15","10.0.2.3","UDP","86","37673","53","N/A","0x00","23392"
"145","19:41:16","10.0.2.3","10.0.2.15","UDP","86","53","37673","N/A","0x00","25975"
"146","19:41:17","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","9270"
"147","19:41:17","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25976"
"148","19:41:17","10.0.2.15","10.0.2.3","UDP","97","57787","53","N/A","0x00","5015"
"149","19:41:17","10.0.2.3","10.0.2.15","UDP","97","53","57787","N/A","0x00","25977"
"150","19:41:17","10.0.2.15","10.0.2.3","UDP","86","57787","53","N/A","0x00","5016"
"151","19:41:17","10.0.2.3","10.0.2.15","UDP","86","53","57787","N/A","0x00","25978"
"152","19:41:18","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","9364"
"153","19:41:18","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25979"
"154","19:41:18","10.0.2.15","10.0.2.3","UDP","97","52972","53","N/A","0x00","16429"
"155","19:41:18","10.0.2.3","10.0.2.15","UDP","97","53","52972","N/A","0x00","25980"
