"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"221","19:41:29","10.0.2.3","10.0.2.15","UDP","97","53","47393","N/A","0x00","26013"
"222","19:41:29","10.0.2.15","10.0.2.3","UDP","86","47393","53","N/A","0x00","11833"
"223","19:41:29","10.0.2.3","10.0.2.15","UDP","86","53","47393","N/A","0x00","26014"
"224","19:41:30","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","16171"
"225","19:41:30","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26015"
"226","19:41:30","10.0.2.15","10.0.2.3","UDP","97","49262","53","N/A","0x00","42486"
"227","19:41:30","10.0.2.3","10.0.2.15","UDP","97","53","49262","N/A","0x00","26016"
"228","19:41:30","10.0.2.15","10.0.2.3","UDP","86","49262","53","N/A","0x00","42487"
"229","19:41:30","10.0.2.3","10.0.2.15","UDP","86","53","49262","N/A","0x00","26017"
"230","19:41:31","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","16276"
"231","19:41:31","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26018"
"232","19:41:31","10.0.2.15","10.0.2.3","UDP","97","58352","53","N/A","0x00","56541"
"233","19:41:31","10.0.2.3","10.0.2.15","UDP","97","53","58352","N/A","0x00","26019"
"234","19:41:31","10.0.2.15","10.0.2.3","UDP","86","58352","53","N/A","0x00","56542"
"235","19:41:31","10.0.2.3","10.0.2.15","UDP","86","53","58352","N/A","0x00","26020"
"236","19:41:32","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","16963"
"237","19:41:32","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26021"
"238","19:41:32","10.0.2.15","10.0.2.3","UDP","97","33529","53","N/A","0x00","31721"
"239","19:41:32","10.0.2.3","10.0.2.15","UDP","97","53","33529","N/A","0x00","26022"
"240","19:41:32","10.0.2.15","10.0.2.3","UDP","86","33529","53","N/A","0x00","31722"
"241","19:41:32","10.0.2.3","10.0.2.15","UDP","86","53","33529","N/A","0x00","26023"
"242","19:41:33","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","17974"
"243","19:41:33","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26024"
"244","19:41:33","10.0.2.15","10.0.2.3","UDP","97","44887","53","N/A","0x00","51142"
"245","19:41:33","10.0.2.3","10.0.2.15","UDP","97","53","44887","N/A","0x00","26025"
"246","19:41:33","10.0.2.15","10.0.2.3","UDP","86","44887","53","N/A","0x00","51143"
"247","19:41:33","10.0.2.3","10.0.2.15","UDP","86","53","44887","N/A","0x00","26026"
"248","19:41:34","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","18605"
"249","19:41:34","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26027"
"250","19:41:34","10.0.2.15","10.0.2.3","UDP","97","57138","53","N/A","0x00","2746"
"251","19:41:34","10.0.2.3","10.0.2.15","UDP","97","53","57138","N/A","0x00","26028"
"252","19:41:34","10.0.2.15","10.0.2.3","UDP","86","57138","53","N/A","0x00","2747"
"253","19:41:34","10.0.2.3","10.0.2.15","UDP","86","53","57138","N/A","0x00","26029"
"254","19:41:35","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","19471"
"255","19:41:35","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26030"
"256","19:41:35","10.0.2.15","10.0.2.3","UDP","97","60967","53","N/A","0x00","54884"
